"city","ID","Created Date","Updated Date","Owner","states","Specialization","Language"
"Dakshin Dinajpur, West Bengal","787cdcd1-c1fe-439c-8827-7bc1e8207387",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Betul, Madhya Pradesh","78f2f907-b28d-447d-a6dc-219c0258e29f",2023-07-20T10:40:19Z,2023-07-20T10:40:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Madurai, Tamil Nadu","797c4ad9-8124-4201-a883-c671ccdc7c4c",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Palghar, Maharashtra","7a1ff93b-8796-4979-bdb7-1d4ddbd869a7",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Kathua, Jammu and Kashmir (UT)","7a71bac1-38b5-4e7f-994c-41e517e0fdc5",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Jamnagar, Gujarat","7a7abf35-d8ec-42c0-b77b-b068526e4d38",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Dhubri, Assam","7af5d87c-1057-48fc-9586-1a29bfa9002c",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Aurangabad, Maharashtra","7b2ace7e-abf4-440e-9339-7c6472bcb730",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Gaya, Bihar","7b2e81ca-26b7-485a-9c9e-493e288a8192",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Darjeeling, West Bengal","7bd85dc9-f337-4253-9db4-d955c432a994",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Godda, Jharkhand","7cbaa146-e851-43db-96d7-3a57f240c7ff",2023-07-20T10:40:19Z,2023-07-20T10:40:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Cooch Behar, West Bengal","7d9b37af-80b4-4977-8c56-00731defd4c0",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Jamshed Pur, Jharkhand","7d9c87df-bd2f-4812-a790-112d2a07f633",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Srinagar, Jammu and Kashmir (UT)","7de4992f-e467-4fae-8307-3baf57ad6d5c",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Kottayam, Kerala","7e31b7de-0afe-4a95-86bd-3abea0792ea8",2023-07-20T10:40:19Z,2023-07-20T10:40:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Wanaparthy, Telangana","7f49b36c-75d2-472d-b677-a5ff65c3643a",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Baksa, Assam","7f504dcf-5896-437b-ba15-7229620c8b14",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Senapati, Manipur","7fb46519-a0e4-4f89-a9d8-086ec1947695",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Mahendragarh, Haryana","802fa44e-519d-4e01-bc95-b1a88b08b303",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Gaurela Pendra Marwahi, Chhattisgarh","81285758-d862-48e6-8351-1d4b3ab71b4b",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Purba Bardhaman, West Bengal","8179841d-8f24-49af-9547-2bffb55f1f51",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Guna, Madhya Pradesh","81fbe24d-efd6-4c60-a0cf-ae9a21621575",2023-07-20T10:40:19Z,2023-07-20T10:40:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Chikkaballapur, Karnataka","820272c9-6204-444f-8366-5483b0d4fa2d",2023-07-20T10:40:19Z,2023-07-20T10:40:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Mahbubnagar, Telangana","82cd2f04-05ce-4ece-8412-aadc60ef1558",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Vaishali, Bihar","83555e76-1710-473c-8c0d-81b641c57730",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Dispur, Assam","836dcbb6-56be-4e10-8557-e153344b2a64",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Pauri, Uttarakhand","838f2534-7d23-4586-8998-e65e105df109",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Mahabubabad, Telangana","84f759d7-8e06-4a87-b3f6-0a1e1b93919e",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Muzaffarpur, Bihar","84ffd403-ee88-4298-99bb-124e33098d8b",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Mayiladuthurai, Tamil Nadu","8542020e-2a2d-4de5-b7cc-3601da7d3b5e",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Zunheboto, Nagaland","8562ce4b-4787-4730-8cf5-3778cf21bf55",2023-07-20T10:40:21Z,2023-07-20T10:40:21Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Barpeta, Assam","862fd373-e0b4-4eff-af81-ec15f14de5a2",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Mayurbhanj, Odisha","8647ac9d-744e-444f-83a1-936f46d102fd",2023-07-20T10:40:21Z,2023-07-20T10:40:21Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Gangtok, Sikkim","86c4167f-d107-4724-98c2-ace4fec59c1c",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Serchhip, Mizoram","8768d534-29c3-4440-9a4d-a344fcae3243",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Janjgir Champa, Chhattisgarh","87ace470-83da-4423-8f82-810a28525316",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Datia, Madhya Pradesh","883dd845-9927-40ee-8224-8be6cc8227e3",2023-07-20T10:40:19Z,2023-07-20T10:40:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Mairang (Eastern West Khasi Hills), Meghalaya","8850b960-7e53-4db3-9117-b912ce5dc05f",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Hingoli, Maharashtra","8915bfa0-43e7-4e96-817c-4db66657ebaf",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Sangrur, Punjab","8931e8ed-54aa-4e5c-95f0-bcf9542e6cee",2023-07-20T10:40:21Z,2023-07-20T10:40:21Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Barnala, Punjab","895c68d8-ffa8-4abb-bd97-9cb1aed332a0",2023-07-20T10:40:21Z,2023-07-20T10:40:21Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
