"ID","Created Date","Updated Date","Owner","courts","Publish Date","Unpublish Date","Status"
"0395d287-9b7e-439d-acbd-818fef3267e2",2023-07-19T08:58:50Z,2023-07-19T08:58:50Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Civil Court Complex, Champua - Odisha - India",2023-07-19T08:58:50Z,,"PUBLISHED"
"039c091c-a97d-4db3-936a-d45a8941ec94",2023-07-19T08:59:00Z,2023-07-19T08:59:00Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","DISTRICT COURT PALAKKAD - Kerala - India",2023-07-19T08:59:00Z,,"PUBLISHED"
"03a8e855-1825-4b8c-ad7d-f0634ef33a08",2023-07-19T08:59:10Z,2023-07-19T08:59:10Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","MACT KamrupAmingaon - Assam - India",2023-07-19T08:59:10Z,,"PUBLISHED"
"03bb39f8-4d1a-4faa-a820-2a3cd9a3dd08",2023-07-19T08:58:55Z,2023-07-19T08:58:55Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Combined Courts, Rasipuram - Tamil Nadu - India",2023-07-19T08:58:55Z,,"PUBLISHED"
"03c53b88-2bf7-45cb-a4e4-070f7d7a9d1f",2023-07-19T08:59:05Z,2023-07-19T08:59:05Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","II Addl District Court Adoni - Andhra Pradesh - India",2023-07-19T08:59:05Z,,"PUBLISHED"
"03e6dfe3-1ff1-4b59-baa2-5090813ae025",2023-07-19T08:59:18Z,2023-07-19T08:59:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Sub Court Palladam - Tamil Nadu - India",2023-07-19T08:59:18Z,,"PUBLISHED"
"03e70fba-1694-4579-855d-a2a54905c262",2023-07-19T08:58:50Z,2023-07-19T08:58:50Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Civil Court Chhuikhadan - Chhattisgarh - India",2023-07-19T08:58:50Z,,"PUBLISHED"
"03f95876-feec-482f-b9bc-74af2f70e5e0",2023-07-19T08:58:50Z,2023-07-19T08:58:50Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Civil Court Complex Jawad Civil Court Jawad District Neemuch - Madhya Pradesh - India",2023-07-19T08:58:50Z,,"PUBLISHED"
"04042883-b20f-41ef-ae39-c0bbeb8345e0",2023-07-19T08:58:49Z,2023-07-19T08:58:49Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Basti District Court Complex - Uttar Pradesh - India",2023-07-19T08:58:49Z,,"PUBLISHED"
"042548c0-65b6-4fe5-8072-e75c18d35234",2023-07-19T08:59:19Z,2023-07-19T08:59:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Tandur, JCJ Complex - Telangana - India",2023-07-19T08:59:19Z,,"PUBLISHED"
